sample_id,dept_code,zone,division,section_id,section_encoded,track_type_encoded,from_km,to_km,km_span,elementary_section_id,defect_type,defect_severity_score,days_overdue,work_category,demanded_duration_mins,power_cut_required,traffic_cut_required,tower_wagon_required,traffic_density_trains_per_day,coa_available_free_slot_mins,concurrent_engg_block_available,concurrent_engg_block_overlap_pct,peak_hours_conflict,ambient_temp_factor,speed_risk_factor,urgency_score
ML-GEN-01114,"TRD","NR","DLI","NDLS-GZB",823,1,19.873,24.087,4.214,"ES-D01B","CW_WEAR",0.4248,16,"PREVENTIVE_MAINT",146,1,1,1,218,30,1,0.65,0,0.346,0.807,0.6245
ML-GEN-01268,"TRD","ECR","DNR","MKA-BKP",417,1,491.057,492.719,1.662,"ES-31A","CW_WEAR",0.7483,18,"FOOT_PATROL",81,1,1,0,84,139,1,0.69,0,0.235,0.633,0.6659
ML-GEN-01823,"TRD","NR","DLI","NDLS-PWL",389,1,48.133,50.05,1.917,"ES-D07A","NEUTRAL_PTFE",0.7502,14,"POH_SCHEDULE",175,1,1,1,114,120,1,0.77,0,0.61,0.809,0.6526
ML-GEN-02124,"TRD","WR","BCT","BCT-BVI",543,1,8.643,12.272,3.629,"ES-W41B","INSULATOR_FLASHOVER",0.8974,9,"DEFECT_ATTENDANCE",43,1,1,0,298,30,0,0,0,0.67,0.631,0.6469
ML-GEN-00969,"TRD","NR","DLI","NDLS-GZB",823,1,18.078,21.826,3.748,"ES-D01A","NEUTRAL_PTFE",0.7881,10,"PREVENTIVE_MAINT",85,1,1,1,194,30,1,0.54,0,0.272,0.425,0.659
ML-GEN-01724,"TRD","WR","BCT","BVI-VR",208,1,66.44,69.37,2.93,"ES-W43A","DROPPER_DEFECTIVE",0.7703,17,"POH_SCHEDULE",180,1,1,1,191,30,1,0.82,0,0.641,0.558,0.6552
ML-GEN-01019,"TRD","CR","BSL","BSL-NGP",465,1,606.216,610.628,4.412,"ES-C53A","CW_WEAR",0.5661,17,"POH_SCHEDULE",206,1,1,1,68,164,1,0.95,0,0.146,0.375,0.6016
ML-GEN-01766,"TRD","NR","DLI","NDLS-PWL",389,1,45.708,49.215,3.506,"ES-D07B","INSULATOR_FLASHOVER",0.9656,7,"EMERGENCY_REPAIR",58,1,1,0,113,123,1,0.79,1,0.168,0.67,0.6558
ML-GEN-02078,"TRD","ECR","DNR","BXR-DNR",655,0,610.573,612.601,2.029,"ES-10A","ANTICREEP_DEFECT",0.4601,17,"EMERGENCY_REPAIR",30,1,1,0,90,98,1,0.86,0,0.291,0.602,0.6054
ML-GEN-00371,"TRD","ECR","DNR","PNBE-RJPB",870,1,546.414,547.973,1.56,"ES-18B","CANTILEVER_MISALIGN",0.7569,15,"PREVENTIVE_MAINT",143,1,1,1,153,83,1,0.95,1,0.121,0.588,0.6307
ML-GEN-02484,"TRD","WR","BCT","BCT-BVI",543,1,41.242,42.913,1.671,"ES-W41A","CANTILEVER_MISALIGN",0.6999,7,"POH_SCHEDULE",84,1,1,1,227,30,1,0.99,1,0.297,0.512,0.6043
ML-GEN-01816,"TRD","CR","BSL","KYN-BSL",386,0,337.288,339.112,1.824,"ES-C52A","INSULATOR_FLASHOVER",0.7059,10,"EMERGENCY_REPAIR",83,1,1,0,97,106,1,0.67,0,0.718,0.741,0.6677
ML-GEN-01894,"TRD","ECR","DNR","BXR-DNR",655,1,611.577,615.171,3.594,"ES-09C","DROPPER_DEFECTIVE",0.4604,14,"PREVENTIVE_MAINT",133,1,1,1,122,87,0,0,0,0.157,0.496,0.5987
ML-GEN-00161,"TRD","NR","DLI","GZB-MB",515,1,34.735,36.017,1.282,"ES-D05B","JUMPER_HOTSPOT",0.8012,11,"DEFECT_ATTENDANCE",140,1,1,1,124,90,1,0.52,0,0.768,0.58,0.6409
ML-GEN-01244,"TRD","ECR","DNR","BXR-DNR",655,1,610.688,613.552,2.864,"ES-09A","NEUTRAL_PTFE",0.5607,16,"EMERGENCY_REPAIR",37,1,0,0,107,65,1,0.53,1,0.716,0.876,0.6439
ML-GEN-02185,"TRD","ECR","DNR","BXR-DNR",655,0,612.81,613.902,1.092,"ES-10A","DROPPER_DEFECTIVE",0.4941,10,"PREVENTIVE_MAINT",123,1,1,1,94,132,0,0,0,0.382,0.568,0.5955
ML-GEN-01455,"TRD","CR","BSL","KYN-BSL",386,1,70.14,72.593,2.453,"ES-C50B","INSULATOR_FLASHOVER",0.7502,19,"POH_SCHEDULE",203,1,1,1,100,134,1,0.96,0,0.105,0.503,0.6331
ML-GEN-01174,"TRD","WR","BCT","BCT-BVI",543,1,2.417,7.187,4.77,"ES-W42A","CW_WEAR",0.4038,15,"EMERGENCY_REPAIR",86,1,1,0,256,30,1,0.55,1,0.142,0.524,0.6041
ML-GEN-02270,"TRD","ECR","DNR","PNBE-RJPB",870,1,546.136,547.969,1.833,"ES-18B","NEUTRAL_PTFE",0.704,12,"DEFECT_ATTENDANCE",117,1,1,1,155,53,0,0,0,0.176,0.648,0.6269
ML-GEN-01836,"TRD","WR","BCT","BCT-BVI",543,1,5.54,8.69,3.15,"ES-W41B","ANTICREEP_DEFECT",0.505,14,"FOOT_PATROL",57,1,0,0,266,30,0,0,0,0.883,0.632,0.6283
ML-GEN-02363,"TRD","NR","DLI","GZB-MB",515,1,50.616,54.09,3.474,"ES-D05B","CANTILEVER_MISALIGN",0.8432,16,"DEFECT_ATTENDANCE",130,1,1,1,100,155,1,0.65,0,0.785,0.704,0.6671
ML-GEN-00686,"TRD","NR","DLI","GZB-MB",515,0,31.434,32.625,1.191,"ES-D04A","INSULATOR_FLASHOVER",0.5926,12,"AOH_SCHEDULE",148,1,1,1,140,65,0,0,1,0.863,0.577,0.6534
ML-GEN-00356,"TRD","ECR","DNR","BXR-DNR",655,1,612.32,613.471,1.151,"ES-10A","CW_WEAR",0.6348,12,"EMERGENCY_REPAIR",64,1,1,1,107,121,1,0.98,0,0.339,0.843,0.6384
ML-GEN-00485,"TRD","CR","BSL","KYN-BSL",386,1,392.079,395.817,3.738,"ES-C50A","DROPPER_DEFECTIVE",0.6184,9,"AOH_SCHEDULE",147,1,1,1,102,76,0,0,0,0.836,0.513,0.6234
ML-GEN-01018,"TRD","ECR","DNR","BXR-DNR",655,0,613.585,614.366,0.781,"ES-09C","ANTICREEP_DEFECT",0.6326,10,"FOOT_PATROL",81,1,1,0,97,145,1,0.89,0,0.376,0.505,0.6227
ML-GEN-00370,"TRD","CR","BSL","BSL-NGP",465,1,514.632,515.988,1.356,"ES-C53B","BIRD_MENACE",0.685,10,"DEFECT_ATTENDANCE",71,1,1,0,70,130,0,0,0,0.526,0.301,0.6081
ML-GEN-00244,"TRD","CR","BSL","KYN-BSL",386,0,248.951,252.637,3.687,"ES-C52A","CW_WEAR",0.6519,13,"FOOT_PATROL",112,1,1,1,78,135,0,0,0,0.811,0.138,0.6111
ML-GEN-01205,"TRD","NR","DLI","NDLS-PWL",389,1,20.534,24.504,3.971,"ES-D06A","INSULATOR_FLASHOVER",0.719,17,"FOOT_PATROL",72,1,1,1,111,101,1,0.61,0,0.654,0.795,0.6554
ML-GEN-01824,"TRD","CR","BSL","BSL-NGP",465,1,598.553,601.114,2.561,"ES-C53B","CW_WEAR",0.7444,14,"AOH_SCHEDULE",127,1,1,1,62,146,1,0.98,0,0.495,0.332,0.6366
ML-GEN-00863,"TRD","CR","BSL","KYN-BSL",386,0,338.696,340.616,1.92,"ES-C51B","ANTICREEP_DEFECT",0.6077,14,"EMERGENCY_REPAIR",86,1,1,1,99,110,0,0,0,0.571,0.858,0.6325
ML-GEN-02326,"TRD","CR","BSL","BSL-NGP",465,0,638.65,643.377,4.727,"ES-C54A","INSULATOR_FLASHOVER",0.9125,9,"EMERGENCY_REPAIR",42,1,1,1,58,185,0,0,0,0.188,0.169,0.6013
ML-GEN-02239,"TRD","ECR","DNR","PNBE-RJPB",870,1,547.246,547.887,0.641,"ES-18A","DROPPER_DEFECTIVE",0.6845,8,"FOOT_PATROL",56,1,1,0,159,72,1,0.68,0,0.184,0.489,0.6075
ML-GEN-00938,"TRD","WR","BCT","BVI-VR",208,1,105.254,108.91,3.656,"ES-W43B","ANTICREEP_DEFECT",0.6937,11,"DEFECT_ATTENDANCE",134,1,1,1,207,30,0,0,0,0.569,0.581,0.644
ML-GEN-02404,"TRD","CR","BSL","BSL-NGP",465,0,628.344,630.325,1.981,"ES-C53A","DROPPER_DEFECTIVE",0.492,12,"DEFECT_ATTENDANCE",74,1,1,1,79,131,1,0.79,0,0.768,0.425,0.6121
ML-GEN-01957,"TRD","WR","BCT","BVI-VR",208,1,84.344,86.75,2.406,"ES-W44A","CW_WEAR",0.6149,6,"EMERGENCY_REPAIR",52,1,1,0,227,30,1,0.99,0,0.45,0.734,0.6012
ML-GEN-01821,"TRD","NR","DLI","NDLS-PWL",389,0,8.272,13.139,4.867,"ES-D07B","CW_WEAR",0.4602,14,"PREVENTIVE_MAINT",111,1,1,1,110,123,1,0.6,0,0.504,0.678,0.6161
ML-GEN-02482,"TRD","CR","BSL","BSL-NGP",465,1,768.029,768.57,0.541,"ES-C53B","CW_WEAR",0.7224,14,"PREVENTIVE_MAINT",122,1,1,1,75,128,1,0.87,0,0.366,0.243,0.6199
ML-GEN-00852,"TRD","ECR","DNR","MKA-BKP",417,0,489.117,490.522,1.405,"ES-31B","INSULATOR_FLASHOVER",0.6558,12,"EMERGENCY_REPAIR",42,1,0,1,97,126,1,0.83,0,0.365,0.75,0.6302
ML-GEN-01368,"TRD","WR","BCT","BVI-VR",208,1,72.826,74.416,1.59,"ES-W44A","CANTILEVER_MISALIGN",0.6326,14,"POH_SCHEDULE",139,1,1,1,166,55,0,0,0,0.545,0.884,0.6621
ML-GEN-01734,"TRD","CR","BSL","KYN-BSL",386,0,388.212,388.922,0.71,"ES-C50A","DROPPER_DEFECTIVE",0.6503,7,"AOH_SCHEDULE",176,1,1,1,93,176,1,0.94,0,0.413,0.61,0.6143
ML-GEN-00016,"TRD","ECR","DNR","DNR-PNBE",454,0,540.156,540.925,0.769,"ES-25B","CW_WEAR",0.7475,11,"AOH_SCHEDULE",154,1,1,1,118,86,1,0.83,0,0.219,0.447,0.6089
ML-GEN-02426,"TRD","WR","BCT","BCT-BVI",543,1,2.66,6.668,4.008,"ES-W41A","DROPPER_DEFECTIVE",0.6299,14,"PREVENTIVE_MAINT",109,1,1,1,263,30,0,0,1,0.34,0.487,0.6424
ML-GEN-01035,"TRD","CR","BSL","BSL-NGP",465,0,736.134,738.941,2.808,"ES-C54A","BIRD_MENACE",1,13,"EMERGENCY_REPAIR",61,1,1,1,74,147,0,0,0,0.589,0.404,0.6791
ML-GEN-01403,"TRD","WR","BCT","BCT-BVI",543,0,17.557,20.833,3.276,"ES-W41A","CANTILEVER_MISALIGN",0.7893,10,"EMERGENCY_REPAIR",91,1,1,1,276,30,1,0.6,0,0.787,0.535,0.651
ML-GEN-02373,"TRD","ECR","DNR","MKA-BKP",417,0,489.785,490.326,0.541,"ES-32A","INSULATOR_FLASHOVER",0.9283,11,"DEFECT_ATTENDANCE",84,1,1,0,70,126,0,0,0,0.653,0.458,0.6633
ML-GEN-00590,"TRD","ECR","DNR","PNBE-RJPB",870,1,547.142,548.676,1.535,"ES-19A","JUMPER_HOTSPOT",0.9083,11,"PREVENTIVE_MAINT",117,1,1,1,175,30,0,0,0,0.533,0.733,0.6714
ML-GEN-01209,"TRD","CR","BSL","BSL-NGP",465,1,721.148,723.485,2.337,"ES-C54A","BIRD_MENACE",0.7629,13,"EMERGENCY_REPAIR",47,1,1,0,75,143,1,0.63,0,0.125,0.232,0.6213
ML-GEN-00664,"TRD","NR","DLI","NDLS-GZB",823,0,13.697,18.054,4.357,"ES-D02A","JUMPER_HOTSPOT",0.8149,16,"POH_SCHEDULE",126,1,1,1,190,30,0,0,0,0.598,0.799,0.6638
ML-GEN-02125,"TRD","WR","BCT","BCT-BVI",543,0,17.99,21.453,3.463,"ES-W41A","ANTICREEP_DEFECT",0.541,8,"AOH_SCHEDULE",128,1,1,1,265,30,1,0.6,1,0.809,0.516,0.6599
ML-GEN-00361,"TRD","WR","BCT","BCT-BVI",543,1,2.465,6.568,4.104,"ES-W40A","CW_WEAR",0.8005,14,"EMERGENCY_REPAIR",81,1,1,0,279,30,1,0.8,0,0.286,0.719,0.6581
ML-GEN-02291,"TRD","ECR","DNR","BXR-DNR",655,1,612.353,614.537,2.185,"ES-09C","NEUTRAL_PTFE",0.7117,10,"POH_SCHEDULE",156,1,1,1,112,126,0,0,0,0.847,0.48,0.6539
ML-GEN-02115,"TRD","WR","BCT","BCT-BVI",543,0,17.602,19.27,1.668,"ES-W42A","CANTILEVER_MISALIGN",0.6373,17,"AOH_SCHEDULE",206,1,1,1,301,30,1,0.55,0,0.203,0.512,0.6296
ML-GEN-01065,"TRD","WR","BCT","BCT-BVI",543,0,7.955,12.618,4.663,"ES-W41A","NEUTRAL_PTFE",0.7285,13,"PREVENTIVE_MAINT",74,1,1,1,250,30,0,0,0,0.227,0.742,0.641
ML-GEN-01981,"TRD","WR","BCT","BCT-BVI",543,0,50.342,51.446,1.104,"ES-W41A","STEADYARM_CORRODED",0.5917,6,"EMERGENCY_REPAIR",89,1,1,0,238,30,0,0,0,0.647,0.819,0.6473
ML-GEN-00633,"TRD","CR","BSL","KYN-BSL",386,1,119.192,121.448,2.256,"ES-C50B","CW_WEAR",0.7001,9,"DEFECT_ATTENDANCE",115,1,1,1,100,132,1,0.87,0,0.425,0.766,0.6131
ML-GEN-00347,"TRD","NR","DLI","NDLS-GZB",823,0,9.013,13.357,4.344,"ES-D01B","INSULATOR_FLASHOVER",0.7106,13,"AOH_SCHEDULE",178,1,1,1,155,59,1,0.75,0,0.304,0.741,0.6456
ML-GEN-02072,"TRD","NR","DLI","GZB-MB",515,0,56.719,60.473,3.754,"ES-D05B","JUMPER_HOTSPOT",0.7401,9,"EMERGENCY_REPAIR",38,1,1,0,114,118,1,0.98,0,0.288,0.624,0.6297
ML-GEN-00615,"TRD","NR","DLI","GZB-MB",515,1,44.835,48.492,3.657,"ES-D05A","DROPPER_DEFECTIVE",0.5505,8,"DEFECT_ATTENDANCE",135,1,1,1,95,157,0,0,0,0.189,0.815,0.5947
ML-GEN-00186,"TRD","WR","BCT","BVI-VR",208,0,73.997,78.669,4.671,"ES-W44B","BIRD_MENACE",0.7704,16,"PREVENTIVE_MAINT",166,1,1,1,223,30,1,0.6,0,0.385,0.524,0.6662
ML-GEN-00049,"TRD","WR","BCT","BCT-BVI",543,0,43.608,47.837,4.228,"ES-W41B","JUMPER_HOTSPOT",0.7676,15,"DEFECT_ATTENDANCE",86,1,1,0,299,30,1,0.91,0,0.32,0.417,0.6451
ML-GEN-00655,"TRD","NR","DLI","GZB-MB",515,0,33.274,37.504,4.23,"ES-D04A","NEUTRAL_PTFE",0.7631,7,"DEFECT_ATTENDANCE",47,1,1,0,125,84,1,0.7,0,0.416,0.745,0.631
ML-GEN-00619,"TRD","WR","BCT","BVI-VR",208,1,82.585,87.096,4.511,"ES-W43A","CANTILEVER_MISALIGN",0.7276,13,"EMERGENCY_REPAIR",83,1,1,1,214,30,1,0.79,0,0.84,0.408,0.6193
ML-GEN-00891,"TRD","NR","DLI","NDLS-GZB",823,1,19.187,20.936,1.749,"ES-D02B","DROPPER_DEFECTIVE",0.6426,6,"FOOT_PATROL",107,1,1,1,223,30,1,0.84,0,0.658,0.765,0.6346
ML-GEN-00240,"TRD","CR","BSL","BSL-NGP",465,1,534.022,535.178,1.156,"ES-C53B","CANTILEVER_MISALIGN",0.8047,12,"EMERGENCY_REPAIR",104,1,1,1,72,183,1,0.55,0,0.884,0.386,0.6504
ML-GEN-01605,"TRD","CR","BSL","KYN-BSL",386,1,176.444,180.896,4.451,"ES-C52A","STEADYARM_CORRODED",0.6725,6,"DEFECT_ATTENDANCE",91,1,1,1,82,141,1,0.63,0,0.7,0.777,0.6434
ML-GEN-00950,"TRD","WR","BCT","BCT-BVI",543,1,40.164,42.256,2.092,"ES-W40B","DROPPER_DEFECTIVE",0.6449,11,"FOOT_PATROL",112,1,1,1,253,30,0,0,0,0.558,0.875,0.6463
ML-GEN-01425,"TRD","CR","BSL","KYN-BSL",386,1,379.751,381.498,1.747,"ES-C50A","INSULATOR_FLASHOVER",0.7865,6,"FOOT_PATROL",75,1,1,1,92,140,1,0.92,0,0.562,0.41,0.632
ML-GEN-01216,"TRD","WR","BCT","BCT-BVI",543,0,31.213,34.142,2.929,"ES-W41A","INSULATOR_FLASHOVER",0.7019,13,"EMERGENCY_REPAIR",44,1,1,1,254,30,1,0.73,1,0.335,0.578,0.6172
ML-GEN-00701,"TRD","ECR","DNR","BXR-DNR",655,0,611.571,613.546,1.975,"ES-09C","CW_WEAR",0.5906,12,"PREVENTIVE_MAINT",166,1,1,1,106,103,1,0.55,0,0.451,0.716,0.6246
ML-GEN-01182,"TRD","CR","BSL","BSL-NGP",465,1,461.949,466.339,4.39,"ES-C54B","INSULATOR_FLASHOVER",1,7,"PREVENTIVE_MAINT",72,1,1,0,73,132,1,0.97,0,0.188,0.406,0.6416
ML-GEN-00236,"TRD","CR","BSL","KYN-BSL",386,0,404.527,407.311,2.784,"ES-C50A","INSULATOR_FLASHOVER",0.8838,13,"DEFECT_ATTENDANCE",160,1,1,1,84,126,0,0,0,0.638,0.626,0.6611
ML-GEN-00630,"TRD","WR","BCT","BVI-VR",208,0,63.494,64.505,1.01,"ES-W44B","CW_WEAR",0.5564,9,"POH_SCHEDULE",118,1,1,1,157,95,0,0,0,0.441,0.658,0.6129
ML-GEN-02449,"TRD","WR","BCT","BVI-VR",208,0,76.022,76.772,0.75,"ES-W43A","CW_WEAR",0.6371,14,"PREVENTIVE_MAINT",55,1,0,0,175,30,0,0,0,0.712,0.576,0.6462
ML-GEN-02309,"TRD","CR","BSL","KYN-BSL",386,0,390.855,394.726,3.871,"ES-C51A","ANTICREEP_DEFECT",0.8156,16,"EMERGENCY_REPAIR",44,1,1,0,85,166,1,0.74,0,0.897,0.823,0.694
ML-GEN-01685,"TRD","ECR","DNR","DNR-PNBE",454,0,540.583,542.89,2.307,"ES-24A","INSULATOR_FLASHOVER",0.7269,85,"AOH_SCHEDULE",195,1,1,1,112,132,1,0.98,0,0.39,0.787,0.7909
ML-GEN-00556,"TRD","CR","BSL","KYN-BSL",386,1,164.973,166.735,1.762,"ES-C50B","BIRD_MENACE",0.8145,17,"FOOT_PATROL",91,1,1,1,98,141,0,0,0,0.789,0.416,0.6728
ML-GEN-00018,"TRD","ECR","DNR","PNBE-RJPB",870,1,546.78,548.276,1.496,"ES-19A","INSULATOR_FLASHOVER",0.9056,7,"POH_SCHEDULE",183,1,1,1,166,58,1,0.69,0,0.864,0.686,0.6624
ML-GEN-00040,"TRD","WR","BCT","BCT-BVI",543,0,45.062,49.891,4.829,"ES-W41A","STEADYARM_CORRODED",0.5224,16,"PREVENTIVE_MAINT",129,1,1,1,242,30,0,0,0,0.379,0.846,0.6273
ML-GEN-00144,"TRD","CR","BSL","KYN-BSL",386,1,130.7,132.996,2.296,"ES-C50A","INSULATOR_FLASHOVER",0.7047,16,"PREVENTIVE_MAINT",49,1,1,0,87,168,1,0.71,0,0.225,0.439,0.6306
ML-GEN-02345,"TRD","WR","BCT","BCT-BVI",543,0,50.238,54.289,4.052,"ES-W41A","BIRD_MENACE",0.8234,12,"FOOT_PATROL",52,1,1,1,268,30,1,0.61,0,0.656,0.721,0.6531
ML-GEN-00952,"TRD","WR","BCT","BVI-VR",208,1,57.961,62.239,4.278,"ES-W44B","JUMPER_HOTSPOT",0.8345,8,"EMERGENCY_REPAIR",76,1,1,1,184,30,1,0.68,1,0.655,0.89,0.6492
ML-GEN-02343,"TRD","ECR","DNR","MKA-BKP",417,1,489.163,490.508,1.345,"ES-31A","CW_WEAR",0.6918,11,"DEFECT_ATTENDANCE",121,1,1,1,93,136,1,0.77,0,0.742,0.719,0.6633
ML-GEN-01286,"TRD","CR","BSL","BSL-NGP",465,1,717.643,718.751,1.108,"ES-C54B","CW_WEAR",0.5134,17,"POH_SCHEDULE",166,1,1,1,70,140,0,0,0,0.522,0.212,0.6133
ML-GEN-00729,"TRD","NR","DLI","NDLS-PWL",389,0,14.791,16.404,1.613,"ES-D07A","DROPPER_DEFECTIVE",0.5084,6,"EMERGENCY_REPAIR",89,1,1,1,96,126,1,0.75,0,0.466,0.736,0.6426
ML-GEN-00368,"TRD","NR","DLI","NDLS-GZB",823,1,27.619,29.009,1.39,"ES-D01B","CW_WEAR",0.762,11,"DEFECT_ATTENDANCE",83,1,1,0,166,34,1,0.53,0,0.561,0.566,0.6355
ML-GEN-02402,"TRD","CR","BSL","BSL-NGP",465,0,631.47,633.314,1.843,"ES-C53A","STEADYARM_CORRODED",0.4782,15,"FOOT_PATROL",49,1,1,0,80,93,0,0,0,0.435,0.485,0.6293
ML-GEN-00835,"TRD","CR","BSL","BSL-NGP",465,1,702.448,704.26,1.812,"ES-C54B","INSULATOR_FLASHOVER",0.7726,10,"PREVENTIVE_MAINT",72,1,1,0,66,132,1,0.99,0,0.365,0.163,0.608
ML-GEN-00477,"TRD","CR","BSL","BSL-NGP",465,1,609.347,611.238,1.891,"ES-C53A","INSULATOR_FLASHOVER",0.801,15,"EMERGENCY_REPAIR",76,1,1,1,77,136,1,0.59,0,0.852,0.419,0.667
ML-GEN-00862,"TRD","CR","BSL","BSL-NGP",465,1,783.862,785.855,1.992,"ES-C54B","CANTILEVER_MISALIGN",0.6612,11,"POH_SCHEDULE",190,1,1,1,76,129,1,0.67,0,0.564,0.445,0.6136
ML-GEN-00713,"TRD","ECR","DNR","PNBE-RJPB",870,0,546.662,548.345,1.682,"ES-19A","JUMPER_HOTSPOT",0.9648,11,"DEFECT_ATTENDANCE",124,1,1,1,158,82,1,0.76,0,0.327,0.477,0.6453
ML-GEN-00154,"TRD","WR","BCT","BCT-BVI",543,1,51.076,54.752,3.676,"ES-W40A","STEADYARM_CORRODED",0.512,10,"FOOT_PATROL",116,1,1,1,260,30,1,0.61,0,0.34,0.769,0.5837
ML-GEN-01731,"TRD","WR","BCT","BVI-VR",208,1,55.717,59.679,3.962,"ES-W44A","JUMPER_HOTSPOT",0.8456,9,"POH_SCHEDULE",194,1,1,1,153,102,1,0.91,0,0.638,0.852,0.6606
ML-GEN-01371,"TRD","CR","BSL","KYN-BSL",386,0,352.229,356.921,4.692,"ES-C50B","CW_WEAR",0.5339,13,"FOOT_PATROL",64,1,1,0,90,144,1,0.9,0,0.209,0.842,0.628
ML-GEN-00475,"TRD","NR","DLI","NDLS-PWL",389,1,3.408,7.466,4.058,"ES-D07B","CW_WEAR",0.4479,15,"DEFECT_ATTENDANCE",74,1,1,1,105,102,0,0,0,0.817,0.827,0.6484
ML-GEN-00998,"TRD","ECR","DNR","PNBE-RJPB",870,0,545.112,546.762,1.65,"ES-18B","CANTILEVER_MISALIGN",0.628,16,"AOH_SCHEDULE",238,1,1,1,129,59,1,0.75,0,0.815,0.492,0.6365
ML-GEN-02325,"TRD","CR","BSL","KYN-BSL",386,0,225.84,228.793,2.953,"ES-C51A","INSULATOR_FLASHOVER",0.611,11,"EMERGENCY_REPAIR",56,1,0,0,85,140,0,0,0,0.235,0.542,0.5973
ML-GEN-01279,"TRD","ECR","DNR","BXR-DNR",655,0,613.925,614.892,0.967,"ES-10A","CW_WEAR",0.8052,21,"FOOT_PATROL",120,1,1,1,116,100,1,0.61,0,0.277,0.727,0.6698
ML-GEN-02386,"TRD","NR","DLI","NDLS-GZB",823,0,27.729,29.083,1.354,"ES-D03A","CANTILEVER_MISALIGN",0.5979,14,"EMERGENCY_REPAIR",83,1,1,1,223,30,1,0.78,1,0.104,0.551,0.6111
ML-GEN-00013,"TRD","CR","BSL","KYN-BSL",386,0,441.938,442.856,0.918,"ES-C51B","INSULATOR_FLASHOVER",0.7376,12,"EMERGENCY_REPAIR",91,1,1,1,94,168,1,0.66,0,0.37,0.598,0.6416
ML-GEN-00951,"TRD","CR","BSL","KYN-BSL",386,1,417.882,420.672,2.79,"ES-C52A","JUMPER_HOTSPOT",0.844,14,"PREVENTIVE_MAINT",155,1,1,1,94,134,1,0.54,0,0.755,0.742,0.6672
ML-GEN-00150,"TRD","WR","BCT","BVI-VR",208,0,78.34,79.921,1.581,"ES-W43B","INSULATOR_FLASHOVER",0.8564,11,"EMERGENCY_REPAIR",64,1,1,0,209,30,1,0.56,1,0.228,0.897,0.6411
ML-GEN-02348,"TRD","WR","BCT","BCT-BVI",543,0,22.488,23.613,1.125,"ES-W40A","INSULATOR_FLASHOVER",0.7715,18,"POH_SCHEDULE",163,1,1,1,293,30,0,0,1,0.288,0.525,0.671
ML-GEN-00523,"TRD","CR","BSL","BSL-NGP",465,1,475.425,479.397,3.972,"ES-C53A","JUMPER_HOTSPOT",0.7551,7,"PREVENTIVE_MAINT",71,1,1,0,79,151,0,0,0,0.466,0.474,0.6242
ML-GEN-01408,"TRD","CR","BSL","KYN-BSL",386,1,82.894,87.312,4.418,"ES-C51A","DROPPER_DEFECTIVE",0.4883,12,"EMERGENCY_REPAIR",63,1,1,0,65,151,1,0.67,0,0.861,0.473,0.6471
ML-GEN-00616,"TRD","ECR","DNR","MKA-BKP",417,0,489.2,490.846,1.646,"ES-31A","JUMPER_HOTSPOT",0.889,42,"AOH_SCHEDULE",129,1,1,1,84,93,0,0,0,0.454,0.468,0.7325
ML-GEN-01806,"TRD","ECR","DNR","PNBE-RJPB",870,1,546.795,547.83,1.035,"ES-19A","JUMPER_HOTSPOT",0.8713,10,"POH_SCHEDULE",197,1,1,1,151,47,1,0.64,0,0.44,0.424,0.6609
ML-GEN-01340,"TRD","CR","BSL","KYN-BSL",386,1,273.346,277.781,4.435,"ES-C51B","CANTILEVER_MISALIGN",0.7606,18,"AOH_SCHEDULE",169,1,1,1,85,147,1,0.72,0,0.213,0.562,0.6548
ML-GEN-00549,"TRD","NR","DLI","GZB-MB",515,1,59.271,60.114,0.843,"ES-D04A","DROPPER_DEFECTIVE",0.6576,11,"PREVENTIVE_MAINT",143,1,1,1,133,82,1,0.78,0,0.566,0.583,0.6504
ML-GEN-01290,"TRD","NR","DLI","NDLS-PWL",389,1,5.022,9.941,4.92,"ES-D07B","STEADYARM_CORRODED",0.7019,14,"EMERGENCY_REPAIR",30,1,1,1,97,146,1,0.68,0,0.497,0.462,0.6417
ML-GEN-01761,"TRD","NR","DLI","GZB-MB",515,0,61.049,63.517,2.468,"ES-D04B","CW_WEAR",0.5193,17,"PREVENTIVE_MAINT",108,1,1,1,130,96,1,0.83,0,0.51,0.623,0.6272
ML-GEN-02457,"TRD","ECR","DNR","BXR-DNR",655,0,615.162,615.662,0.5,"ES-10A","JUMPER_HOTSPOT",0.8338,10,"DEFECT_ATTENDANCE",65,1,1,0,77,145,1,0.81,0,0.22,0.448,0.6299
ML-GEN-01958,"TRD","WR","BCT","BVI-VR",208,1,104.375,105.048,0.673,"ES-W43A","CW_WEAR",0.4455,12,"PREVENTIVE_MAINT",94,1,1,1,180,30,1,0.56,0,0.598,0.434,0.6145
ML-GEN-02464,"TRD","NR","DLI","GZB-MB",515,1,42.328,47.121,4.793,"ES-D04A","INSULATOR_FLASHOVER",0.7195,12,"DEFECT_ATTENDANCE",124,1,1,1,142,70,1,0.84,1,0.891,0.603,0.6641
ML-GEN-00501,"TRD","WR","BCT","BCT-BVI",543,0,16.975,19.853,2.878,"ES-W42A","ANTICREEP_DEFECT",0.433,12,"EMERGENCY_REPAIR",39,1,1,1,278,30,1,0.65,0,0.554,0.566,0.6153
